product_url,title,price,currency,listing_type,condition,seller_type,showroom_name,showroom_url,posted_time,fans_count,view_count,description,phones,whatsapps,images,images_count,specifications,images_local_paths,المصنع,الصنف,الموديل,قاطع,اللون,اللون الداخلي,النوع,ناقل السرعة,نظام الدفع,فرش المقاعد,السنة,سلندر,سي دي,الحساسات,فتحة السقف,تحت الضمان,بلوتوث,نوع الوقود,تحديد المواقع,دي في دي,كاميرا خلفية,بانوراما,كاميرا امامية,وارد,المالك الأول,الطلاء الأصلي,تدفئة في المقاعد,تبريد في المقاعد,دخول بدون مفتاح,تدليك في المقاعد,عدد المقاعد,قياس الجنط ( الرنج )
https://qatarsale.com/ar/product/toyota_fortuner_sr5_2022_white_automatic_suv-604484," تويوتا  فورشنر  اس ار 5  2022  اوتوماتيك  120,000 كم  6 سلندر  دفع رباعي  اس يو في  أبيض ","89,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/al_kawthar_mawater_city,,0,0,,"['+974 33133444', '+974 50100032', '+974 33313367']",[],"['https://media-blob.qatarsale.com/604484-productimages/604484_0_20260608101617638916.webp', 'https://media-blob.qatarsale.com/604484-productimages/604484_1_20260608101617639549.webp', 'https://media-blob.qatarsale.com/604484-productimages/604484_2_20260608101617639845.webp', 'https://media-blob.qatarsale.com/604484-productimages/604484_3_20260608101617640233.webp', 'https://media-blob.qatarsale.com/604484-productimages/604484_4_20260608101617640489.webp', 'https://media-blob.qatarsale.com/604484-productimages/604484_5_20260608101617640743.webp', 'https://media-blob.qatarsale.com/604484-productimages/604484_6_20260608101617640952.webp']",7,"{'المصنع': 'تويوتا', 'الصنف': 'فورشنر', 'الموديل': 'اس ار 5', 'قاطع': '120,000', 'اللون': 'أبيض', 'اللون الداخلي': 'برتقالي', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2022', 'سلندر': '6', 'سي دي': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604484_0_20260608101617638916.webp', 'images/604484_1_20260608101617639549.webp', 'images/604484_2_20260608101617639845.webp', 'images/604484_3_20260608101617640233.webp', 'images/604484_4_20260608101617640489.webp', 'images/604484_5_20260608101617640743.webp', 'images/604484_6_20260608101617640952.webp']",تويوتا,فورشنر,اس ار 5,"120,000",أبيض,برتقالي,اس يو في,اوتوماتيك,دفع رباعي,قماش,2022,6,نعم,نعم,كلا,كلا,نعم,بنزين,,,,,,,,,,,,,,
https://qatarsale.com/ar/product/land_rover_defender_110_x_2023_white_automatic_suv-601651," لاند روفر  ديفيندر  110 اكس  2023  اوتوماتيك  69,000 كم  8 سلندر  دفع رباعي  اس يو في  أبيض  تحت الضمان ","329,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/show_car_mawater_city_192,,0,0,,['+974  30339393'],[],"['https://media-blob.qatarsale.com/601651-productimages/601651_0_20260604095254325688.webp', 'https://media-blob.qatarsale.com/601651-productimages/601651_1_20260604095254326161.webp', 'https://media-blob.qatarsale.com/601651-productimages/601651_2_20260604095254326460.webp', 'https://media-blob.qatarsale.com/601651-productimages/601651_3_20260604095254326779.webp', 'https://media-blob.qatarsale.com/601651-productimages/601651_4_20260604095254327151.webp', 'https://media-blob.qatarsale.com/601651-productimages/601651_5_20260604095254327423.webp', 'https://media-blob.qatarsale.com/601651-productimages/601651_6_20260604095254327760.webp', 'https://media-blob.qatarsale.com/601651-productimages/601651_7_20260604095254328053.webp']",8,"{'المصنع': 'لاند روفر', 'الصنف': 'ديفيندر', 'الموديل': '110 اكس', 'قاطع': '69,000', 'اللون': 'أبيض', 'اللون الداخلي': 'برتقالي', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2023', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'كلا', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'كاميرا امامية': 'نعم', 'وارد': 'الدوحة', 'المالك الأول': 'كلا', 'الطلاء الأصلي': 'نعم', 'تدفئة في المقاعد': 'كلا', 'تبريد في المقاعد': 'نعم', 'دخول بدون مفتاح': 'نعم', 'تدليك في المقاعد': 'كلا', 'نوع الوقود': 'بنزين'}","['images/601651_0_20260604095254325688.webp', 'images/601651_1_20260604095254326161.webp', 'images/601651_2_20260604095254326460.webp', 'images/601651_3_20260604095254326779.webp', 'images/601651_4_20260604095254327151.webp', 'images/601651_5_20260604095254327423.webp', 'images/601651_6_20260604095254327760.webp', 'images/601651_7_20260604095254328053.webp']",لاند روفر,ديفيندر,110 اكس,"69,000",أبيض,برتقالي,اس يو في,اوتوماتيك,دفع رباعي,جلد,2023,8,نعم,نعم,نعم,نعم,نعم,بنزين,نعم,كلا,نعم,نعم,نعم,الدوحة,كلا,نعم,كلا,نعم,نعم,كلا,,
https://qatarsale.com/ar/product/bmw_7_series_735_i_2024_gold_automatic_sedan-534304," بي ام دبليو  الفئة - السابعة  735 اي  2024  اوتوماتيك  39,000 كم  6 سلندر  دفع رباعي  سيدان  ذهبي  تحت الضمان ","295,000",د.ب,,,,,https://qatarsale.com/ar/showroom/show_car_mawater_city_192,,0,0,,['+974  30339393'],[],"['https://media-blob.qatarsale.com/534304-productimages/534304_0_20260416104116883669.webp', 'https://media-blob.qatarsale.com/534304-productimages/534304_1_20260416104116884272.webp', 'https://media-blob.qatarsale.com/534304-productimages/534304_2_20260416104116884640.webp', 'https://media-blob.qatarsale.com/534304-productimages/534304_3_20260416104116885065.webp', 'https://media-blob.qatarsale.com/534304-productimages/534304_4_20260416104116885411.webp', 'https://media-blob.qatarsale.com/534304-productimages/534304_5_20260416104116885899.webp', 'https://media-blob.qatarsale.com/534304-productimages/534304_6_20260416104116886210.webp', 'https://media-blob.qatarsale.com/534304-productimages/534304_7_20260416104116886532.webp', 'https://media-blob.qatarsale.com/534304-productimages/534304_8_20260416104116886807.webp']",9,"{'المصنع': 'بي ام دبليو', 'الصنف': 'الفئة - السابعة', 'الموديل': '735 اي', 'قاطع': '39,000', 'اللون': 'ذهبي', 'اللون الداخلي': 'برتقالي', 'النوع': 'سيدان', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2024', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/534304_0_20260416104116883669.webp', 'images/534304_1_20260416104116884272.webp', 'images/534304_2_20260416104116884640.webp', 'images/534304_3_20260416104116885065.webp', 'images/534304_4_20260416104116885411.webp', 'images/534304_5_20260416104116885899.webp', 'images/534304_6_20260416104116886210.webp', 'images/534304_7_20260416104116886532.webp', 'images/534304_8_20260416104116886807.webp']",بي ام دبليو,الفئة - السابعة,735 اي,"39,000",ذهبي,برتقالي,سيدان,اوتوماتيك,دفع رباعي,جلد,2024,6,نعم,نعم,نعم,نعم,نعم,بنزين,نعم,نعم,نعم,,,,,,,,,,,
https://qatarsale.com/ar/product/gwm_tank_700_2026_black_automatic_suv-580374, جي دبليو ام  تانك  700  2026  اوتوماتيك  0 كم  4 سلندر  دفع كلي مستمر  اس يو في  أسود  تحت الضمان ,"239,000",د.ب,,,,,https://qatarsale.com/ar/showroom/vip_car_showroom_mawater_city,,0,0,,['+974 77822225'],[],"['https://media-blob.qatarsale.com/580374-productimages/580374_0_20260601213322102903.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_1_20260601213322103425.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_2_20260601213322103761.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_3_20260601213322104014.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_4_20260601213322104287.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_5_20260601213322104549.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_6_20260601213322104813.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_7_20260601213322105086.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_8_20260601213322105377.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_9_20260601213322105715.webp', 'https://media-blob.qatarsale.com/580374-productimages/580374_10_20260601213322106088.webp']",11,"{'المصنع': 'جي دبليو ام', 'الصنف': 'تانك', 'الموديل': '700', 'قاطع': '0', 'اللون': 'أسود', 'اللون الداخلي': 'أحمر', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع كلي مستمر', 'فرش المقاعد': 'جلد', 'السنة': '2026', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'كاميرا امامية': 'نعم', 'عدد المقاعد': '5', 'وارد': 'الدوحة', 'المالك الأول': 'نعم', 'الطلاء الأصلي': 'نعم', 'تدفئة في المقاعد': 'نعم', 'تبريد في المقاعد': 'نعم', 'دخول بدون مفتاح': 'نعم', 'تدليك في المقاعد': 'نعم', 'نوع الوقود': 'بنزين'}","['images/580374_0_20260601213322102903.webp', 'images/580374_1_20260601213322103425.webp', 'images/580374_2_20260601213322103761.webp', 'images/580374_3_20260601213322104014.webp', 'images/580374_4_20260601213322104287.webp', 'images/580374_5_20260601213322104549.webp', 'images/580374_6_20260601213322104813.webp', 'images/580374_7_20260601213322105086.webp', 'images/580374_8_20260601213322105377.webp', 'images/580374_9_20260601213322105715.webp', 'images/580374_10_20260601213322106088.webp']",جي دبليو ام,تانك,700,0,أسود,أحمر,اس يو في,اوتوماتيك,دفع كلي مستمر,جلد,2026,4,نعم,نعم,نعم,نعم,نعم,بنزين,نعم,,نعم,,نعم,الدوحة,نعم,نعم,نعم,نعم,نعم,نعم,5,
https://qatarsale.com/ar/product/nissan_patrol_platinum_2020_silver_automatic_suv-469998," نيسان  باترول  بلاتنيوم  2020  اوتوماتيك  7,000 كم  6 سلندر  دفع رباعي  اس يو في  فضي ","159,000",$,,,,,https://qatarsale.com/ar/showroom/acacia_mawater_city,,0,0,,"['+974 30050094', '+974 66022249']",[],"['https://media-blob.qatarsale.com/469998-productimages/469998_0_20251215091543789356.webp', 'https://media-blob.qatarsale.com/469998-productimages/469998_1_20251215091543790022.webp', 'https://media-blob.qatarsale.com/469998-productimages/469998_2_20251215091543790481.webp', 'https://media-blob.qatarsale.com/469998-productimages/469998_3_20251215091543790917.webp', 'https://media-blob.qatarsale.com/469998-productimages/469998_4_20251215091543791351.webp', 'https://media-blob.qatarsale.com/469998-productimages/469998_5_20251215091543791740.webp']",6,"{'المصنع': 'نيسان', 'الصنف': 'باترول', 'الموديل': 'بلاتنيوم', 'قاطع': '7,000', 'اللون': 'فضي', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2020', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/469998_0_20251215091543789356.webp', 'images/469998_1_20251215091543790022.webp', 'images/469998_2_20251215091543790481.webp', 'images/469998_3_20251215091543790917.webp', 'images/469998_4_20251215091543791351.webp', 'images/469998_5_20251215091543791740.webp']",نيسان,باترول,بلاتنيوم,"7,000",فضي,بيج,اس يو في,اوتوماتيك,دفع رباعي,جلد,2020,6,نعم,نعم,نعم,كلا,نعم,بنزين,نعم,نعم,نعم,,,,,,,,,,,
https://qatarsale.com/ar/product/gwm_tank_700_2026_silver_automatic_suv-604133," جي دبليو ام  تانك  700  2026  اوتوماتيك  13,000 كم  6 سلندر  دفع رباعي  اس يو في  فضي  تحت الضمان ","219,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/al_sahwa_car_company_mawater_city,,0,0,,"['+974 55558197', '+974 55558193']",[],"['https://media-blob.qatarsale.com/604133-productimages/604133_0_20260608023419292871.webp', 'https://media-blob.qatarsale.com/604133-productimages/604133_1_20260608023419294143.webp', 'https://media-blob.qatarsale.com/604133-productimages/604133_2_20260608023419294689.webp', 'https://media-blob.qatarsale.com/604133-productimages/604133_3_20260608023419294996.webp', 'https://media-blob.qatarsale.com/604133-productimages/604133_4_20260608023419295267.webp', 'https://media-blob.qatarsale.com/604133-productimages/604133_5_20260608023419295525.webp', 'https://media-blob.qatarsale.com/604133-productimages/604133_6_20260608023419295855.webp']",7,"{'المصنع': 'جي دبليو ام', 'الصنف': 'تانك', 'الموديل': '700', 'قاطع': '13,000', 'اللون': 'فضي', 'اللون الداخلي': 'بني غامق', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2026', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'كاميرا امامية': 'نعم', 'وارد': 'الخليج', 'المالك الأول': 'نعم', 'الطلاء الأصلي': 'نعم', 'تدفئة في المقاعد': 'نعم', 'تبريد في المقاعد': 'نعم', 'دخول بدون مفتاح': 'نعم', 'تدليك في المقاعد': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604133_0_20260608023419292871.webp', 'images/604133_1_20260608023419294143.webp', 'images/604133_2_20260608023419294689.webp', 'images/604133_3_20260608023419294996.webp', 'images/604133_4_20260608023419295267.webp', 'images/604133_5_20260608023419295525.webp', 'images/604133_6_20260608023419295855.webp']",جي دبليو ام,تانك,700,"13,000",فضي,بني غامق,اس يو في,اوتوماتيك,دفع رباعي,جلد,2026,6,نعم,نعم,نعم,نعم,نعم,بنزين,نعم,نعم,نعم,نعم,نعم,الخليج,نعم,نعم,نعم,نعم,نعم,نعم,,
https://qatarsale.com/ar/product/toyota_land_cruiser_gxr_2018_white_automatic_suv-574068," تويوتا  لاند كروزر  جي اكس ار  2018  اوتوماتيك  188,000 كم  8 سلندر  دفع رباعي  اس يو في  أبيض ","126,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/acacia_mawater_city,,0,0,,"['+974 30050094', '+974 66022249']",[],"['https://media-blob.qatarsale.com/574068-productimages/574068_0_20260525100823666013.webp', 'https://media-blob.qatarsale.com/574068-productimages/574068_1_20260525100823666538.webp', 'https://media-blob.qatarsale.com/574068-productimages/574068_2_20260525100823666932.webp', 'https://media-blob.qatarsale.com/574068-productimages/574068_3_20260525100823667257.webp', 'https://media-blob.qatarsale.com/574068-productimages/574068_4_20260525100823667557.webp', 'https://media-blob.qatarsale.com/574068-productimages/574068_5_20260525100823667843.webp', 'https://media-blob.qatarsale.com/574068-productimages/574068_6_20260525100823668183.webp']",7,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'جي اكس ار', 'قاطع': '188,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2018', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/574068_0_20260525100823666013.webp', 'images/574068_1_20260525100823666538.webp', 'images/574068_2_20260525100823666932.webp', 'images/574068_3_20260525100823667257.webp', 'images/574068_4_20260525100823667557.webp', 'images/574068_5_20260525100823667843.webp', 'images/574068_6_20260525100823668183.webp']",تويوتا,لاند كروزر,جي اكس ار,"188,000",أبيض,بيج,اس يو في,اوتوماتيك,دفع رباعي,قماش,2018,8,نعم,نعم,نعم,كلا,نعم,بنزين,نعم,,نعم,,,,,,,,,,,
https://qatarsale.com/ar/product/land_rover_range_rover_sport_dynamic_se_2018_silver_automatic_suv-602422," لاند روفر  رنج روفر  سبورت ديناميك إس إي  2018  اوتوماتيك  96,000 كم  6 سلندر  دفع خلفي  اس يو في  فضي ","98,000",د.ك,,,,,https://qatarsale.com/ar/showroom/al_sahwa_car_company_mawater_city,,0,0,,"['+974 55558197', '+974 55558193']",[],"['https://media-blob.qatarsale.com/602422-productimages/602422_0_20260605192237342543.webp', 'https://media-blob.qatarsale.com/602422-productimages/602422_1_20260605192237342905.webp', 'https://media-blob.qatarsale.com/602422-productimages/602422_2_20260605192237343284.webp', 'https://media-blob.qatarsale.com/602422-productimages/602422_3_20260605192237345113.webp', 'https://media-blob.qatarsale.com/602422-productimages/602422_4_20260605192237345416.webp', 'https://media-blob.qatarsale.com/602422-productimages/602422_5_20260605192237345720.webp', 'https://media-blob.qatarsale.com/602422-productimages/602422_6_20260605192237346006.webp']",7,"{'المصنع': 'لاند روفر', 'الصنف': 'رنج روفر', 'الموديل': 'سبورت ديناميك إس إي', 'قاطع': '96,000', 'اللون': 'فضي', 'اللون الداخلي': 'بني وأسود', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع خلفي', 'فرش المقاعد': 'جلد', 'السنة': '2018', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'كاميرا امامية': 'نعم', 'وارد': 'الدوحة', 'المالك الأول': 'نعم', 'الطلاء الأصلي': 'نعم', 'تدفئة في المقاعد': 'نعم', 'تبريد في المقاعد': 'نعم', 'دخول بدون مفتاح': 'نعم', 'نوع الوقود': 'بنزين'}","['images/602422_0_20260605192237342543.webp', 'images/602422_1_20260605192237342905.webp', 'images/602422_2_20260605192237343284.webp', 'images/602422_3_20260605192237345113.webp', 'images/602422_4_20260605192237345416.webp', 'images/602422_5_20260605192237345720.webp', 'images/602422_6_20260605192237346006.webp']",لاند روفر,رنج روفر,سبورت ديناميك إس إي,"96,000",فضي,بني وأسود,اس يو في,اوتوماتيك,دفع خلفي,جلد,2018,6,نعم,نعم,نعم,كلا,نعم,بنزين,نعم,نعم,نعم,نعم,نعم,الدوحة,نعم,نعم,نعم,نعم,نعم,,,
https://qatarsale.com/ar/product/land_rover_defender_110_hse_2022_green_automatic_suv-523652," لاند روفر  ديفيندر  110 اتش اس اي  2022  اوتوماتيك  87,000 كم  6 سلندر  دفع رباعي  اس يو في  أخضر ","209,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/al_kawthar_mawater_city,,0,0,,"['+974 33133444', '+974 50100032', '+974 33313367']",[],"['https://media-blob.qatarsale.com/523652-productimages/523652_0_20260319100439225021.webp', 'https://media-blob.qatarsale.com/523652-productimages/523652_1_20260319100439225634.webp', 'https://media-blob.qatarsale.com/523652-productimages/523652_2_20260319100439225981.webp', 'https://media-blob.qatarsale.com/523652-productimages/523652_3_20260319100439226234.webp', 'https://media-blob.qatarsale.com/523652-productimages/523652_4_20260319100439226499.webp', 'https://media-blob.qatarsale.com/523652-productimages/523652_5_20260319100439226738.webp', 'https://media-blob.qatarsale.com/523652-productimages/523652_6_20260319100439226989.webp']",7,"{'المصنع': 'لاند روفر', 'الصنف': 'ديفيندر', 'الموديل': '110 اتش اس اي', 'قاطع': '87,000', 'اللون': 'أخضر', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2022', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/523652_0_20260319100439225021.webp', 'images/523652_1_20260319100439225634.webp', 'images/523652_2_20260319100439225981.webp', 'images/523652_3_20260319100439226234.webp', 'images/523652_4_20260319100439226499.webp', 'images/523652_5_20260319100439226738.webp', 'images/523652_6_20260319100439226989.webp']",لاند روفر,ديفيندر,110 اتش اس اي,"87,000",أخضر,بيج,اس يو في,اوتوماتيك,دفع رباعي,جلد,2022,6,,نعم,نعم,كلا,نعم,بنزين,نعم,,نعم,,,,,,,,,,,
https://qatarsale.com/ar/product/toyota_land_cruiser_vxr_twin_turbo_2024_black_automatic_suv-580010," تويوتا  لاند كروزر  في اكس ار توين توربو  2024  اوتوماتيك  46,000 كم  6 سلندر  دفع رباعي  اس يو في  أسود  تحت الضمان ","289,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/al_kawthar_mawater_city,,0,0,,"['+974 33133444', '+974 50100032', '+974 33313367']",[],"['https://media-blob.qatarsale.com/580010-productimages/580010_0_20260601102512992070.webp', 'https://media-blob.qatarsale.com/580010-productimages/580010_1_20260601102512992528.webp', 'https://media-blob.qatarsale.com/580010-productimages/580010_2_20260601102512992836.webp', 'https://media-blob.qatarsale.com/580010-productimages/580010_3_20260601102512993128.webp', 'https://media-blob.qatarsale.com/580010-productimages/580010_4_20260601102512993428.webp', 'https://media-blob.qatarsale.com/580010-productimages/580010_5_20260601102512993702.webp', 'https://media-blob.qatarsale.com/580010-productimages/580010_6_20260601102512993946.webp', 'https://media-blob.qatarsale.com/580010-productimages/580010_7_20260601102512994253.webp', 'https://media-blob.qatarsale.com/580010-productimages/580010_8_20260601102512994536.webp']",9,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'في اكس ار توين توربو', 'قاطع': '46,000', 'اللون': 'أسود', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2024', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/580010_0_20260601102512992070.webp', 'images/580010_1_20260601102512992528.webp', 'images/580010_2_20260601102512992836.webp', 'images/580010_3_20260601102512993128.webp', 'images/580010_4_20260601102512993428.webp', 'images/580010_5_20260601102512993702.webp', 'images/580010_6_20260601102512993946.webp', 'images/580010_7_20260601102512994253.webp', 'images/580010_8_20260601102512994536.webp']",تويوتا,لاند كروزر,في اكس ار توين توربو,"46,000",أسود,بيج,اس يو في,اوتوماتيك,دفع رباعي,جلد,2024,6,,نعم,نعم,نعم,نعم,بنزين,نعم,,نعم,,,,,,,,,,,
